Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.00
0	64.28	0.36	0.00
0	63.58	0.00	0.00
0	62.59	0.00	0.03
0	61.81	0.02	0.52
0	61.40	0.06	3.68
0	61.39	0.12	13.51
0	61.50	0.18	34.31
0	61.52	0.21	74.15
1	61.46	0.25	107.88 <-- alert is on, predicted changepoint
0	61.41	0.28	48.44
0	61.31	0.30	13.82
0	61.09	0.26	18.72
0	61.00	0.22	0.35
0	61.10	0.24	0.00
0	61.43	0.42	0.00
0	61.92	0.00	0.00
0	62.66	0.00	0.55
0	63.48	0.00	22.42
0	64.08	0.02	180.50
1	64.49	0.05	773.62 <-- alert is on, predicted changepoint
0	64.92	0.07	2659.84
0	65.27	0.10	7307.61
0	65.37	0.14	12690.38
0	65.18	0.21	13308.05
0	65.01	0.28	11512.06
0	64.72	0.38	12609.95
0	64.26	0.46	116.23
0	63.48	0.18	0.14
0	62.88	0.04	0.01
0	62.23	0.02	0.01
0	61.89	0.05	0.01
0	61.46	0.07	0.01
0	61.51	0.14	0.01
0	61.72	0.21	0.01
0	62.16	0.33	0.00
0	62.22	0.39	0.00
0	62.09	0.40	0.00
0	61.70	0.30	0.00
0	61.40	0.19	0.00
0	61.09	0.07	0.00
0	61.22	0.15	0.00
0	61.80	0.41	0.00
0	62.82	0.01	0.00
0	63.69	0.00	0.01
0	64.20	0.02	0.08
0	64.26	0.08	0.30
0	64.36	0.12	0.84
0	64.51	0.15	1.98
0	64.78	0.16	3.44
0	64.94	0.19	3.41
0	65.49	0.14	1.77
0	66.68	0.04	5.42
1	68.58	0.01	228.56 <-- alert is on, predicted changepoint
0	70.44	0.01	219.54
0	71.98	0.02	36.37
0	72.87	0.06	17.61
0	73.56	0.09	16.07
0	74.03	0.12	16.18
0	74.33	0.16	15.85
