Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.01
0	64.28	0.36	0.01
0	63.58	0.00	0.92
1	62.59	0.00	252.82 <-- alert is on, predicted changepoint
0	61.81	0.03	787.17
0	61.40	0.10	592.08
0	61.39	0.20	1012.38
0	61.50	0.31	13.98
0	61.52	0.40	0.05
0	61.46	0.42	0.00
0	61.41	0.29	0.00
0	61.31	0.02	0.02
1	61.09	0.00	8.36 <-- alert is on, predicted changepoint
0	61.00	0.06	46.24
0	61.10	0.28	65.35
0	61.43	0.14	126.94
0	61.92	0.00	6067.89
1	62.66	0.00	874.42 <-- alert is on, predicted changepoint
0	63.48	0.02	2451.22
0	64.08	0.06	9947.08
0	64.49	0.10	12880.45
0	64.92	0.12	45.11
0	65.27	0.11	1.68
0	65.37	0.16	0.25
0	65.18	0.32	0.06
0	65.01	0.44	0.02
0	64.72	0.03	0.05
0	64.26	0.00	0.92
1	63.48	0.00	21.88 <-- alert is on, predicted changepoint
0	62.88	0.04	160.07
0	62.23	0.05	1063.00
0	61.89	0.11	350.51
0	61.46	0.11	19.72
0	61.51	0.20	0.65
0	61.72	0.38	0.08
0	62.16	0.17	0.03
0	62.22	0.11	0.03
0	62.09	0.29	0.01
0	61.70	0.28	0.01
0	61.40	0.03	0.08
0	61.09	0.04	0.30
0	61.22	0.22	0.16
0	61.80	0.28	0.16
1	62.82	0.00	794.95 <-- alert is on, predicted changepoint
0	63.69	0.02	1477.84
0	64.20	0.08	762.37
0	64.26	0.18	922.08
0	64.36	0.24	1070.58
0	64.51	0.22	0.26
0	64.78	0.06	0.09
0	64.94	0.05	0.14
0	65.49	0.00	4.59
1	66.68	0.00	2200.09 <-- alert is on, predicted changepoint
0	68.58	0.00	213295.04
0	70.44	0.02	548833.26
0	71.98	0.06	486538.05
