TIME,GEO,UNIT,INDX,COICOP,Value,Flag and Footnotes
2005M01,France,"Index, 2015=100",Producer price index,Food,90.7,
2005M01,France,"Index, 2015=100",Producer price index,Bread and cereals,81.9,
2005M01,France,"Index, 2015=100",Producer price index,Bread,87.1,
2005M01,France,"Index, 2015=100",Producer price index,Meat,93.1,
2005M01,France,"Index, 2015=100",Producer price index,Beef and veal,:,
2005M01,France,"Index, 2015=100",Producer price index,Pork,:,
2005M01,France,"Index, 2015=100",Producer price index,Lamb and goat,:,
2005M01,France,"Index, 2015=100",Producer price index,Poultry,84.9,
2005M01,France,"Index, 2015=100",Producer price index,Fish and seafood,:,c
2005M01,France,"Index, 2015=100",Producer price index,"Milk, cheese and eggs",:,
2005M01,France,"Index, 2015=100",Producer price index,Fresh whole milk ,:,
2005M01,France,"Index, 2015=100",Producer price index,Yoghurt,:,
2005M01,France,"Index, 2015=100",Producer price index,Cheese and curd,:,
2005M01,France,"Index, 2015=100",Producer price index,Eggs,:,
2005M01,France,"Index, 2015=100",Producer price index,Oils and fats,74.9,
2005M01,France,"Index, 2015=100",Producer price index,Butter,:,
2005M01,France,"Index, 2015=100",Producer price index,Olive oil,:,
2005M01,France,"Index, 2015=100",Producer price index,Other edible oils,:,c
2005M01,France,"Index, 2015=100",Producer price index,Fruit,:,
2005M01,France,"Index, 2015=100",Producer price index,Vegetables,:,
2005M01,France,"Index, 2015=100",Producer price index,Potatoes,:,
2005M01,France,"Index, 2015=100",Producer price index,Sugar,159.5,
2005M01,France,"Index, 2015=100",Producer price index,"Coffee, tea and cocoa",:,c
2005M01,France,"Index, 2015=100",Producer price index,Fruit and vegetables juices ,:,c
2005M01,France,"Index, 2015=100",Producer price index,Wine from grapes,74.6,
2005M01,France,"Index, 2015=100",Producer price index,Beer,74.5,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Food,86.02,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Bread and cereals,88.36,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Bread,84.35,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Meat,81.34,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Beef and veal,75.73,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Pork,78.98,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Lamb and goat,75.98,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Poultry,73.74,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Fish and seafood,86.59,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,"Milk, cheese and eggs",91.61,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Fresh whole milk ,80.93,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Yoghurt,101.27,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Cheese and curd,91.05,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Eggs,89.5,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Oils and fats,83.38,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Butter,89.82,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Olive oil,84.2,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Other edible oils,73.57,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Fruit,76.66,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Vegetables,82.99,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Potatoes,:,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Sugar,106.76,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,"Coffee, tea and cocoa",83.62,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Fruit and vegetables juices ,85.62,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Wine from grapes,81.12,
2005M01,France,"Index, 2015=100",Harmonised index of consumer prices,Beer,80.45,
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Food,77.5,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Bread and cereals,61.7,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Bread,59.5,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Meat,85.5,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Beef and veal,83.2,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Pork,98.7,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Lamb and goat,80.5,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Poultry,76.3,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Fish and seafood,:,
2005M01,France,"Index, 2015=100",Agricultural commodity price index,"Milk, cheese and eggs",91.6,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Fresh whole milk ,94.8,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Yoghurt,94.8,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Cheese and curd,94.8,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Eggs,63.6,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Oils and fats,57.7,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Butter,95.5,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Olive oil,:,
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Other edible oils,57.7,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Fruit,86,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Vegetables,99.7,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Potatoes,59.1,e
