TIME	GEO	UNIT	INDX	COICOP	Value	Flag and Footnotes		
2005M01	France	Index	 2015=100	Agricultural commodity price index	Food	77.5	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	61.7	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Bread	59.5	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Meat	85.5	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	83.2	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Pork	98.7	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	80.5	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Poultry	76.3	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M01	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	91.6	e
2005M01	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	94.8	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	94.8	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	94.8	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Eggs	63.6	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	57.7	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Butter	95.5	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M01	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	57.7	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Fruit	86	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Vegetables	99.7	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Potatoes	59.1	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Sugar	114.8	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	84.7	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	71.9	e	
2005M01	France	Index	 2015=100	Agricultural commodity price index	Beer	61.4	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Food	76	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	58.7	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Bread	56.3	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Meat	84.7	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	82.8	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Pork	97.4	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	79	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.6	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M02	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	88.5	e
2005M02	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	92.1	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	92.1	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	92.1	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Eggs	58.5	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	55.5	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Butter	92.8	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M02	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	55.5	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Fruit	85.3	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Vegetables	99.4	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Potatoes	56.3	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Sugar	116.2	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	83.6	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	71	e	
2005M02	France	Index	 2015=100	Agricultural commodity price index	Beer	57.9	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Food	74.7	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	57.2	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Bread	54.5	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Meat	84.3	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	82.9	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Pork	95.8	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	77.4	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.4	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M03	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	84.6	e
2005M03	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	88.3	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	88.3	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	88.3	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Eggs	54.6	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	54.6	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Butter	88.9	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M03	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	54.6	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Fruit	85.7	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Vegetables	99.4	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Potatoes	54.9	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Sugar	116.7	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	83.3	e	
2005M03	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	70	e	
