STAID	SOUID	DATE	TG	Q_TG
32	839	20050101	98	0
32	839	20050102	69	0
32	839	20050103	18	0
32	839	20050104	26	0
32	839	20050105	60	0
32	839	20050106	92	0
32	839	20050107	90	0
32	839	20050108	57	0
32	839	20050109	102	0
32	839	20050110	68	0
32	839	20050111	100	0
32	839	20050112	87	0
32	839	20050113	40	0
32	839	20050114	36	0
32	839	20050115	30	0
32	839	20050116	18	0
32	839	20050117	40	0
32	839	20050118	58	0
32	839	20050119	58	0
32	839	20050120	86	0
32	839	20050121	92	0
32	839	20050122	69	0
32	839	20050123	49	0
32	839	20050124	14	0
32	839	20050125	-10	0
32	839	20050126	-18	0
32	839	20050127	-22	0
32	839	20050128	-4	0
32	839	20050129	-4	0
32	839	20050130	-24	0
32	839	20050131	23	0
32	839	20050201	56	0
32	839	20050202	42	0
32	839	20050203	54	0
32	839	20050204	34	0
32	839	20050205	20	0
32	839	20050206	40	0
32	839	20050207	52	0
32	839	20050208	58	0
32	839	20050209	59	0
32	839	20050210	63	0
32	839	20050211	92	0
32	839	20050212	110	0
32	839	20050213	39	0
32	839	20050214	25	0
32	839	20050215	17	0
32	839	20050216	1	0
32	839	20050217	-5	0
32	839	20050218	6	0
32	839	20050219	28	0
32	839	20050220	12	0
32	839	20050221	15	0
32	839	20050222	-20	0
32	839	20050223	-8	0
32	839	20050224	-15	0
32	839	20050225	-10	0
32	839	20050226	-6	0
32	839	20050227	-12	0
32	839	20050228	-44	0
32	839	20050301	-47	0
32	839	20050302	-12	0
32	839	20050303	8	0
32	839	20050304	-6	0
32	839	20050305	12	0
32	839	20050306	1	0
32	839	20050307	5	0
32	839	20050308	35	0
32	839	20050309	46	0
32	839	20050310	44	0
32	839	20050311	54	0
32	839	20050312	64	0
32	839	20050313	37	0
32	839	20050314	48	0
32	839	20050315	88	0
32	839	20050316	136	0
32	839	20050317	136	0
32	839	20050318	135	0
32	839	20050319	147	0
32	839	20050320	143	0
32	839	20050321	148	0
32	839	20050322	134	0
32	839	20050323	134	0
32	839	20050324	121	0
32	839	20050325	114	0
32	839	20050326	139	0
32	839	20050327	108	0
32	839	20050328	126	0
32	839	20050329	108	0
32	839	20050330	120	0
32	839	20050331	108	0
32	839	20050401	108	0
32	839	20050402	134	0
32	839	20050403	118	0
32	839	20050404	133	0
32	839	20050405	118	0
32	839	20050406	113	0
32	839	20050407	88	0
32	839	20050408	64	0
32	839	20050409	50	0
32	839	20050410	69	0
32	839	20050411	106	0
32	839	20050412	109	0
32	839	20050413	101	0
32	839	20050414	112	0
32	839	20050415	89	0
32	839	20050416	84	0
32	839	20050417	89	0
32	839	20050418	102	0
32	839	20050419	72	0
32	839	20050420	85	0
32	839	20050421	86	0
32	839	20050422	105	0
32	839	20050423	140	0
32	839	20050424	134	0
32	839	20050425	114	0
32	839	20050426	121	0
32	839	20050427	140	0
32	839	20050428	151	0
32	839	20050429	176	0
32	839	20050430	198	0
32	839	20050501	202	0
32	839	20050502	192	0
32	839	20050503	161	0
32	839	20050504	138	0
32	839	20050505	122	0
32	839	20050506	119	0
32	839	20050507	113	0
32	839	20050508	106	0
32	839	20050509	102	0
32	839	20050510	116	0
32	839	20050511	116	0
32	839	20050512	134	0
32	839	20050513	161	0
32	839	20050514	154	0
32	839	20050515	144	0
32	839	20050516	137	0
32	839	20050517	114	0
32	839	20050518	104	0
32	839	20050519	126	0
32	839	20050520	174	0
32	839	20050521	150	0
32	839	20050522	149	0
32	839	20050523	136	0
32	839	20050524	140	0
32	839	20050525	177	0
32	839	20050526	213	0
32	839	20050527	234	0
32	839	20050528	207	0
32	839	20050529	218	0
32	839	20050530	163	0
32	839	20050531	142	0
32	839	20050601	154	0
32	839	20050602	178	0
32	839	20050603	193	0
32	839	20050604	148	0
32	839	20050605	136	0
32	839	20050606	166	0
32	839	20050607	142	0
32	839	20050608	140	0
32	839	20050609	151	0
32	839	20050610	162	0
32	839	20050611	164	0
32	839	20050612	170	0
32	839	20050613	178	0
32	839	20050614	200	0
32	839	20050615	150	0
32	839	20050616	206	0
32	839	20050617	230	0
32	839	20050618	247	0
32	839	20050619	260	0
32	839	20050620	240	0
32	839	20050621	240	0
32	839	20050622	252	0
32	839	20050623	282	0
32	839	20050624	248	0
32	839	20050625	242	0
32	839	20050626	254	0
32	839	20050627	282	0
32	839	20050628	280	0
32	839	20050629	220	0
32	839	20050630	196	0
32	839	20050701	180	0
32	839	20050702	213	0
32	839	20050703	234	0
32	839	20050704	174	0
32	839	20050705	152	0
32	839	20050706	173	0
32	839	20050707	157	0
32	839	20050708	159	0
32	839	20050709	161	0
32	839	20050710	181	0
32	839	20050711	230	0
32	839	20050712	229	0
32	839	20050713	240	0
32	839	20050714	245	0
32	839	20050715	262	0
