Date,Food Price Index
Jan-90,64.1
Feb-90,64.4
Mar-90,63.8
Apr-90,65.8
May-90,64.4
Jun-90,63.7
Jul-90,62.5
Aug-90,61.5
Sep-90,61
Oct-90,61.1
Nov-90,61.9
Dec-90,61.9
Jan-91,60.8
Feb-91,61.5
Mar-91,62
Apr-91,60.7
May-91,60.6
Jun-91,61
Jul-91,61.8
Aug-91,61.4
Sep-91,62.1
Oct-91,64.3
Nov-91,64.4
Dec-91,64
Jan-92,64.8
Feb-92,65.7
Mar-92,66.1
Apr-92,64.5
May-92,64.8
Jun-92,65.6
Jul-92,64.4
Aug-92,62.8
Sep-92,63.5
Oct-92,61.5
Nov-92,62.4
Dec-92,61
Jan-93,61.3
Feb-93,61.2
Mar-93,62.9
Apr-93,62.5
May-93,62
Jun-93,61.5
Jul-93,61.9
Aug-93,60.5
Sep-93,60.9
Oct-93,61.2
Nov-93,63
Dec-93,64.3
Jan-94,64.5
Feb-94,64.1
Mar-94,64.5
Apr-94,63.7
May-94,65.6
Jun-94,65.2
Jul-94,63.9
Aug-94,66.2
Sep-94,69.3
Oct-94,69.9
Nov-94,73.2
Dec-94,73.1
Jan-95,72.9
Feb-95,74.4
Mar-95,75.1
Apr-95,74
May-95,74
Jun-95,75.1
Jul-95,79.5
Aug-95,78
Sep-95,78.3
Oct-95,80.4
Nov-95,79.8
Dec-95,78
Jan-96,77
Feb-96,77.5
Mar-96,78.6
Apr-96,80.8
May-96,82.4
Jun-96,80.5
Jul-96,80.2
Aug-96,79.9
Sep-96,76.9
Oct-96,74.1
Nov-96,72.5
Dec-96,71.4
Jan-97,70.9
Feb-97,71
Mar-97,72.8
Apr-97,73.4
May-97,72.8
Jun-97,70.2
Jul-97,68.4
Aug-97,69.8
Sep-97,70
Oct-97,69.7
Nov-97,70.3
Dec-97,68
Jan-98,67.4
Feb-98,67.6
Mar-98,67.4
Apr-98,66.8
May-98,66.4
Jun-98,64.2
Jul-98,64.3
Aug-98,62.4
Sep-98,61.9
Oct-98,62.7
Nov-98,62.6
Dec-98,62.1
Jan-99,61
Feb-99,58.4
Mar-99,57
Apr-99,55.8
May-99,55.4
Jun-99,54.6
Jul-99,52.6
Aug-99,54.4
Sep-99,54.6
Oct-99,53.2
Nov-99,53.2
Dec-99,51.9
Jan-00,52.6
Feb-00,52.3
Mar-00,52.8
Apr-00,53.4
May-00,53.6
Jun-00,53.8
Jul-00,54
Aug-00,53.2
Sep-00,52.6
Oct-00,53.4
Nov-00,53.8
Dec-00,54.4
1-Jan,53.8
1-Feb,54.2
1-Mar,55.1
1-Apr,54.6
1-May,55.4
1-Jun,54.8
1-Jul,56.5
1-Aug,56.6
1-Sep,55.4
1-Oct,54.2
1-Nov,54.7
1-Dec,54.3
2-Jan,53.5
2-Feb,51.7
2-Mar,52
2-Apr,51
2-May,50.5
2-Jun,51.3
2-Jul,52
2-Aug,53.4
2-Sep,54.9
2-Oct,55.2
2-Nov,56.3
2-Dec,55.6
3-Jan,55.9
3-Feb,56.5
3-Mar,55.5
3-Apr,55.6
3-May,56.3
3-Jun,56
3-Jul,56.7
3-Aug,57.6
3-Sep,58.7
3-Oct,60.3
3-Nov,61.8
3-Dec,62.4
4-Jan,64.3
4-Feb,65
4-Mar,66.7
4-Apr,67.2
4-May,66.3
4-Jun,66.1
4-Jul,65.6
4-Aug,64.5
4-Sep,65.2
4-Oct,64.7
4-Nov,65.4
4-Dec,65.6
5-Jan,65.4
5-Feb,65.9
5-Mar,67.1
5-Apr,65.6
5-May,66.3
5-Jun,67.2
5-Jul,67.4
5-Aug,67.5
5-Sep,68.4
5-Oct,69.4
5-Nov,68.8
5-Dec,69.5
6-Jan,69.4
6-Feb,70.4
6-Mar,69.4
6-Apr,69.7
6-May,71
6-Jun,71.1
6-Jul,72.9
6-Aug,72.9
6-Sep,73
6-Oct,74.9
6-Nov,77.5
6-Dec,78.6
7-Jan,78.1
7-Feb,79.6
7-Mar,80.8
7-Apr,83.5
7-May,86.2
7-Jun,91.1
7-Jul,95.3
7-Aug,98.9
7-Sep,105
7-Oct,107.6
7-Nov,110.4
7-Dec,114.4
8-Jan,120
8-Feb,128
8-Mar,132.1
8-Apr,130.4
8-May,130
8-Jun,132.5
8-Jul,130.1
8-Aug,121.1
8-Sep,112.8
8-Oct,97.6
8-Nov,89.5
8-Dec,86
9-Jan,86.4
9-Feb,84.2
9-Mar,84
9-Apr,87.2
9-May,93.3
9-Jun,93.3
9-Jul,90.7
9-Aug,93.5
9-Sep,93
9-Oct,94.8
9-Nov,98.8
9-Dec,100.7
10-Jan,101.5
10-Feb,99
10-Mar,96.3
10-Apr,96.8
10-May,96.3
10-Jun,95.7
10-Jul,100
10-Aug,107.7
10-Sep,114.1
10-Oct,120.1
10-Nov,124.1
10-Dec,129.3
11-Jan,133.7
11-Feb,137.6
11-Mar,134.3
11-Apr,136.4
11-May,135.2
11-Jun,134.9
11-Jul,133.2
11-Aug,133
11-Sep,130.4
11-Oct,125.7
11-Nov,126.1
11-Dec,122.1
12-Jan,122.4
12-Feb,125.4
12-Mar,125.8
12-Apr,124.4
12-May,119
12-Jun,115.9
12-Jul,122.1
12-Aug,123.3
12-Sep,125.2
12-Oct,124
12-Nov,123.6
12-Dec,122.9
13-Jan,123.4
13-Feb,123.2
13-Mar,122.9
13-Apr,122.9
13-May,122.1
13-Jun,120.9
13-Jul,117.9
13-Aug,116.1
13-Sep,116.4
13-Oct,118.7
13-Nov,118.7
13-Dec,118.2
14-Jan,116.2
14-Feb,118.5
14-Mar,122.1
14-Apr,121.4
14-May,121.3
14-Jun,119.3
14-Jul,116.4
14-Aug,113
14-Sep,109.4
14-Oct,109.4
14-Nov,108.2
14-Dec,105.2
15-Jan,100.7
15-Feb,98.5
15-Mar,95.6
15-Apr,94.7
15-May,95
15-Jun,94.5
15-Jul,93.8
15-Aug,89.6
15-Sep,89
15-Oct,90.4
15-Nov,87.7
15-Dec,87.1
16-Jan,84.9
16-Feb,86
16-Mar,87.4
16-Apr,89.2
16-May,90.6
16-Jun,93.8
16-Jul,93
16-Aug,95.3
16-Sep,96.1
16-Oct,95.9
16-Nov,95.8
16-Dec,95.1
17-Jan,97.7
17-Feb,98.1
17-Mar,96.2
17-Apr,95.1
17-May,97.4
17-Jun,98
17-Jul,100.2
17-Aug,99.3
17-Sep,99.9
17-Oct,98.9
17-Nov,98.9
17-Dec,96.4
18-Jan,96.7
18-Feb,97.8
18-Mar,99
18-Apr,98.5
18-May,98.6
18-Jun,96.9
18-Jul,95
18-Aug,95.9
18-Sep,94.2
18-Oct,93.3
18-Nov,92.2
18-Dec,92.2
19-Jan,93.2
19-Feb,94
19-Mar,93.1
19-Apr,93.6
19-May,94.2
19-Jun,95.3
19-Jul,95.1
19-Aug,94
19-Sep,93.3
19-Oct,95.2
19-Nov,98.6
19-Dec,101
20-Jan,102.5
20-Feb,99.4
20-Mar,95.1
20-Apr,92.4
20-May,91.1
20-Jun,93.2
