Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.00
0	64.28	0.36	0.00
0	63.58	0.00	0.00
0	62.59	0.00	0.00
0	61.81	0.02	0.10
0	61.40	0.06	0.69
0	61.39	0.12	2.52
0	61.50	0.18	6.40
0	61.52	0.21	13.84
0	61.46	0.23	28.10
0	61.41	0.26	39.15
0	61.31	0.28	17.73
0	61.09	0.26	5.68
0	61.00	0.25	7.89
0	61.10	0.29	0.12
0	61.43	0.49	0.00
0	61.92	0.03	0.00
0	62.66	0.00	0.05
0	63.48	0.00	1.71
0	64.08	0.02	13.42
0	64.49	0.04	56.36
1	64.92	0.06	178.93 <-- alert is on, predicted changepoint
0	65.27	0.09	479.73
0	65.37	0.13	956.45
0	65.18	0.20	1221.68
0	65.01	0.26	1181.14
0	64.72	0.35	997.11
0	64.26	0.49	998.45
0	63.48	0.27	151.14
0	62.88	0.10	0.19
0	62.23	0.03	0.02
0	61.89	0.05	0.01
0	61.46	0.07	0.01
0	61.51	0.12	0.00
0	61.72	0.20	0.00
0	62.16	0.31	0.00
0	62.22	0.36	0.00
0	62.09	0.37	0.00
0	61.70	0.30	0.00
0	61.40	0.22	0.00
0	61.09	0.11	0.00
0	61.22	0.16	0.00
0	61.80	0.45	0.00
0	62.82	0.01	0.00
0	63.69	0.00	0.01
0	64.20	0.02	0.03
0	64.26	0.07	0.08
0	64.36	0.11	0.21
0	64.51	0.14	0.49
0	64.78	0.15	1.12
0	64.94	0.17	1.81
0	65.49	0.14	2.74
0	66.68	0.05	5.22
0	68.58	0.01	60.03
1	70.44	0.01	1542.06 <-- alert is on, predicted changepoint
0	71.98	0.02	584.56
0	72.87	0.05	42.92
0	73.56	0.08	13.46
0	74.03	0.11	8.89
0	74.33	0.15	6.93
0	74.41	0.18	5.37
