FAO Monthly Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
,,,,,,
Jan-90,64.1,73.4,53.5,64.1,44.6,87.9
Feb-90,64.4,76,52.2,62.2,44.5,90.7
Mar-90,63.8,77.8,41.4,61.3,45.7,95.1
Apr-90,65.8,80.4,48.4,62.8,44,94.3
May-90,64.4,81,39.2,62,45.5,90.4
Jun-90,63.7,83.1,39.2,60.7,43.8,80.3
Jul-90,62.5,83.4,39.2,57.9,43.7,74.2
Aug-90,61.5,83.7,36.8,55.7,45.3,67.6
Sep-90,61,84.5,38.1,52.5,44.8,68.5
Oct-90,61.1,85.4,38.9,52.8,45.7,60.8
Nov-90,61.9,86.2,39.4,52.4,48.3,62.3
Dec-90,61.9,83.7,45.1,52.6,49.6,60.3
Jan-91,60.8,79.8,46.9,53.7,49.4,54.5
Feb-91,61.5,81.7,46.7,55.2,48.4,52.7
Mar-91,62,80.7,45.8,57.3,48.7,56.6
Apr-91,60.7,79.5,42.8,57.6,47,52.7
May-91,60.6,81.2,42.1,57.2,46.5,46.9
Jun-91,61,80.4,43.4,56.5,46.7,56.9
Jul-91,61.8,82.6,40.4,55.7,48.2,63.8
Aug-91,61.4,79.4,41.7,58.3,48.8,58.5
Sep-91,62.1,79.8,45.4,58.8,48.6,57.5
Oct-91,64.3,82.3,48.8,60.6,51.1,56.4
Nov-91,64.4,81.9,50.8,60.8,51.8,53.6
Dec-91,64,78.3,50.8,62.7,52.6,55.7
Jan-92,64.8,79.3,52.9,63.9,52.8,51.5
Feb-92,65.7,80.9,52.9,66.5,51.9,48.5
Mar-92,66.1,81.4,52.4,65.9,54.1,50.9
Apr-92,64.5,77.4,52.4,63,53.9,58.5
May-92,64.8,78.2,54.6,62,54,59.3
Jun-92,65.6,78,57.7,61.8,54.8,64.1
Jul-92,64.4,78.6,58.1,58.5,51.9,63.8
Aug-92,62.8,77.5,56.6,56.1,51,60.8
Sep-92,63.5,77.1,58.1,58.3,52.2,57.6
Oct-92,61.5,73.5,54.9,58.2,52.2,53.9
Nov-92,62.4,75.5,53.8,58.8,53.8,53
Dec-92,61,72.8,53.2,58.5,53,50.4
Jan-93,61.3,72.6,53.3,59.1,53.9,51
Feb-93,61.2,72.1,54,58.1,54.2,53
Mar-93,62.9,75.7,53.3,57.8,53,65.7
Apr-93,62.5,74.8,52.4,57.3,52.8,69
May-93,62,74.9,51.7,55.4,51.9,73.2
Jun-93,61.5,77.6,51.8,52.8,51.2,64.3
Jul-93,61.9,77,49.7,55.8,53.2,59.9
Aug-93,60.5,73.8,48,56.6,52.6,57.8
Sep-93,60.9,74.3,45.1,58.4,52.5,59
Oct-93,61.2,73.5,41,61.4,52.1,63.7
Nov-93,63,72.4,41.2,66.7,56.2,62.6
Dec-93,64.3,70.1,41.8,68.9,63.5,65.1
Jan-94,64.5,69.5,45.5,68.6,63.8,63.7
Feb-94,64.1,70.9,45.4,66.8,60.4,67
Mar-94,64.5,72.5,46,64.1,61.3,72.7
Apr-94,63.7,72.9,42.3,62.4,63.6,68.1
May-94,65.6,76.1,42.3,62,67.7,71.7
Jun-94,65.2,74.4,45.1,60.1,68.4,74.6
Jul-94,63.9,75,45.6,56,67.1,72.8
Aug-94,66.2,76.6,46.6,57.5,73.3,74.9
Sep-94,69.3,77.9,49.9,60.2,80.5,77.9
Oct-94,69.9,78.1,52,61.7,79,78.9
Nov-94,73.2,81.9,53.2,61.1,88.3,86.3
Dec-94,73.1,78.2,55,62.7,88.6,90.8
Jan-95,72.9,78.6,58.9,62.9,82.6,91.3
Feb-95,74.4,83.1,61.1,62.5,82.6,89.2
Mar-95,75.1,84.1,61.8,62.2,84.4,90.3
Apr-95,74,84.9,61.1,62.7,77.9,84.8
May-95,74,83.8,61.2,64.9,76.8,83.7
Jun-95,75.1,81,61.2,69.1,80.3,86.8
Jul-95,79.5,87.4,64.6,74,83.9,84.1
Aug-95,78,87.1,64.3,72.6,79.9,80.3
Sep-95,78.3,88.4,64.3,75.9,76.3,72.3
Oct-95,80.4,88.8,64.8,80.2,79.9,73.3
Nov-95,79.8,87.2,64.8,80.5,79,74.1
Dec-95,78,81.2,64.4,82.7,75.5,76.2
Jan-96,77,79.8,64.3,83.3,70.7,77.5
Feb-96,77.5,79.9,64.2,85.7,68.6,79.3
Mar-96,78.6,82.9,63,86.9,68.1,79.9
Apr-96,80.8,80.8,62.7,95.3,73.5,74.1
May-96,82.4,83.1,61,100,73.3,70.5
Jun-96,80.5,83.5,61.1,94.3,68.8,75.3
Jul-96,80.2,86.1,61.3,91.1,66,79.3
Aug-96,79.9,88.8,60.7,85.8,69.1,76.6
Sep-96,76.9,88.7,60.1,75.3,71.4,73.8
Oct-96,74.1,85.9,61,71.1,69,68.8
Nov-96,72.5,84.9,59.9,67.4,70,66.3
Dec-96,71.4,81,60.2,67.6,70.1,66.5
Jan-97,70.9,78.8,60.3,68.1,70.7,66.2
Feb-97,71,78.7,59.5,68.4,71.5,66.9
Mar-97,72.8,82.4,59.3,70.6,70.3,68.8
Apr-97,73.4,83.5,59.1,70.8,71.1,69.9
May-97,72.8,83.5,58.8,68.8,71.6,68.9
Jun-97,70.2,80,58.6,65.2,68.9,70.7
Jul-97,68.4,79.1,58.1,62.4,65.5,69.4
Aug-97,69.8,80.1,57.8,65.7,65.4,72.4
Sep-97,70,79.7,59,65.1,67.9,70.1
Oct-97,69.7,75.5,60.8,65.6,72.8,70.6
Nov-97,70.3,75.5,61,64.2,76.7,74.3
Dec-97,68,69.5,61,63.4,75.5,76.3
Jan-98,67.4,67.3,60.9,62.7,79.2,71.5
Feb-98,67.6,68.3,59.7,62.7,81.8,66.3
Mar-98,67.4,67.8,57.8,63.2,84.6,60.9
Apr-98,66.8,67.8,57.6,60.8,86,60
May-98,66.4,66.2,56.5,60.2,89.9,57.1
Jun-98,64.2,66.2,55.6,59,82.7,50.1
Jul-98,64.3,66.7,55.3,57.5,83.5,53.5
Aug-98,62.4,64.2,55.4,54.1,83.1,52.5
Sep-98,61.9,64.6,53.9,53.9,84.5,44.7
Oct-98,62.7,64.1,52.1,57.7,84.4,46.2
Nov-98,62.6,62.7,52.1,58.2,84.3,49.9
Dec-98,62.1,63.3,52.3,56.8,82,50
Jan-99,61,62.1,52.4,57.1,77.3,50.2
Feb-99,58.4,62.8,51.5,54.9,68.4,42.2
Mar-99,57,62.8,50.7,55.2,62.3,37.3
Apr-99,55.8,61.1,48,53.7,64.9,33.5
May-99,55.4,61.7,47.4,52.8,62.2,35.6
Jun-99,54.6,62.1,47.1,53.6,54.8,37.3
Jul-99,52.6,62.3,46.4,51.4,48.6,33.3
Aug-99,54.4,64,46.4,53,52.3,35.6
Sep-99,54.6,62.6,46.8,52.6,54,41.3
Oct-99,53.2,60,47,51.5,52.9,41.9
Nov-99,53.2,60.9,47.5,51.3,51.3,40.2
Dec-99,51.9,58.9,48.5,50.4,49.5,37.2
Jan-00,52.6,59.9,50.2,52.1,48.6,34.7
Feb-00,52.3,60.2,50.4,52.2,46.3,32.7
Mar-00,52.8,61.9,50.1,51.7,47.8,31.8
Apr-00,53.4,61.3,50.4,51.8,49.5,37.3
May-00,53.6,62.4,50.9,52.8,44.5,42.8
Jun-00,53.8,61.7,53.8,51.4,42.9,51.8
Jul-00,54,61.5,55.6,49.8,42.6,59.6
Aug-00,53.2,59.2,56,48.6,41.7,64.6
Sep-00,52.6,58.4,57.4,49.4,38.4,62.1
Oct-00,53.4,58.6,59.1,51.2,36.4,66.5
Nov-00,53.8,59.3,59.6,52.1,37.7,61.5
Dec-00,54.4,59.3,60.1,53.7,38.1,62
1-Jan,53.8,57.3,59.7,53.9,37.3,63.9
1-Feb,54.2,60.9,59.5,53,35.8,61.1
1-Mar,55.1,63.6,59.7,52.2,38.2,57.4
1-Apr,54.6,64.1,59.5,51,38,54.1
