Date,Food Price Index
Jan-90,64.04
Feb-90,64.36
Mar-90,64.48
Apr-90,64.66
May-90,64.28
Jun-90,63.58
Jul-90,62.59
Aug-90,61.81
Sep-90,61.4
Oct-90,61.39
Nov-90,61.5
Dec-90,61.52
Jan-91,61.46
Feb-91,61.41
Mar-91,61.31
Apr-91,61.09
May-91,61
Jun-91,61.1
Jul-91,61.43
Aug-91,61.92
Sep-91,62.66
Oct-91,63.48
Nov-91,64.08
Dec-91,64.49
Jan-92,64.92
Feb-92,65.27
Mar-92,65.37
Apr-92,65.18
May-92,65.01
Jun-92,64.72
Jul-92,64.26
Aug-92,63.48
Sep-92,62.88
Oct-92,62.23
Nov-92,61.89
Dec-92,61.46
Jan-93,61.51
Feb-93,61.72
Mar-93,62.16
Apr-93,62.22
May-93,62.09
Jun-93,61.7
Jul-93,61.4
Aug-93,61.09
Sep-93,61.22
Oct-93,61.8
Nov-93,62.82
Dec-93,63.69
Jan-94,64.2
Feb-94,64.26
Mar-94,64.36
Apr-94,64.51
May-94,64.78
Jun-94,64.94
Jul-94,65.49
Aug-94,66.68
Sep-94,68.58
Oct-94,70.44
Nov-94,71.98
Dec-94,72.87
Jan-95,73.56
Feb-95,74.03
Mar-95,74.33
Apr-95,74.41
May-95,74.98
Jun-95,76.03
Jul-95,77.44
Aug-95,78.34
Sep-95,79
Oct-95,79.27
Nov-95,79.06
Dec-95,78.39
Jan-96,77.82
Feb-96,78.06
Mar-96,79.09
Apr-96,80.27
May-96,80.96
Jun-96,80.82
Jul-96,80.08
Aug-96,78.72
Sep-96,76.82
Oct-96,74.71
Nov-96,72.92
Dec-96,71.79
Jan-97,71.42
Feb-97,71.69
Mar-97,72.32
Apr-97,72.51
May-97,71.87
Jun-97,70.69
Jul-97,69.78
Aug-97,69.57
Sep-97,69.74
Oct-97,69.72
Nov-97,69.3
Dec-97,68.52
Jan-98,67.9
Feb-98,67.47
Mar-98,67.2
Apr-98,66.64
May-98,65.88
Jun-98,64.8
Jul-98,63.82
Aug-98,62.94
Sep-98,62.53
Oct-98,62.4
Nov-98,62.26
Dec-98,61.62
Jan-99,60.4
Feb-99,58.79
Mar-99,57.31
Apr-99,56.13
May-99,55.18
Jun-99,54.44
Jul-99,53.98
Aug-99,53.93
Sep-99,53.87
Oct-99,53.5
Nov-99,53
Dec-99,52.53
Jan-00,52.47
Feb-00,52.56
Mar-00,52.89
Apr-00,53.23
May-00,53.56
Jun-00,53.69
Jul-00,53.58
Aug-00,53.33
Sep-00,53.2
Oct-00,53.4
Nov-00,53.71
Dec-00,54
1-Jan,54.17
1-Feb,54.38
1-Mar,54.68
1-Apr,54.87
1-May,55.18
1-Jun,55.49
1-Jul,55.9
1-Aug,55.84
1-Sep,55.44
1-Oct,54.86
1-Nov,54.44
1-Dec,53.91
2-Jan,53.24
2-Feb,52.38
2-Mar,51.71
2-Apr,51.22
2-May,51.12
2-Jun,51.48
2-Jul,52.31
2-Aug,53.39
2-Sep,54.47
2-Oct,55.22
2-Nov,55.7
2-Dec,55.88
3-Jan,55.97
3-Feb,55.94
3-Mar,55.88
3-Apr,55.88
3-May,56.03
3-Jun,56.36
3-Jul,56.92
3-Aug,57.77
3-Sep,58.93
3-Oct,60.21
3-Nov,61.53
3-Dec,62.74
4-Jan,64.02
4-Feb,65.18
4-Mar,66.12
4-Apr,66.52
4-May,66.42
4-Jun,65.98
4-Jul,65.5
4-Aug,65.1
4-Sep,65
4-Oct,65.04
4-Nov,65.27
4-Dec,65.44
5-Jan,65.74
5-Feb,65.99
5-Mar,66.22
5-Apr,66.3
5-May,66.56
5-Jun,66.9
5-Jul,67.37
5-Aug,67.86
5-Sep,68.36
5-Oct,68.84
5-Nov,69.11
5-Dec,69.41
6-Jan,69.58
6-Feb,69.78
6-Mar,69.87
6-Apr,70.16
6-May,70.77
6-Jun,71.52
6-Jul,72.3
6-Aug,72.94
6-Sep,73.89
6-Oct,75.24
6-Nov,76.73
6-Dec,77.94
7-Jan,78.78
7-Feb,79.86
7-Mar,81.43
7-Apr,83.91
7-May,87.1
7-Jun,90.97
7-Jul,95.23
7-Aug,99.56
7-Sep,103.74
7-Oct,107.43
7-Nov,111.13
7-Dec,115.51
8-Jan,120.81
8-Feb,125.89
8-Mar,129.23
8-Apr,130.66
8-May,130.89
8-Jun,129.91
8-Jul,126.7
8-Aug,119.91
8-Sep,110.6
8-Oct,100.5
8-Nov,92.77
8-Dec,87.96
9-Jan,85.9
9-Feb,85.18
9-Mar,86.06
9-Apr,88.19
9-May,90.62
9-Jun,92.07
9-Jul,92.44
9-Aug,92.89
9-Sep,93.9
9-Oct,95.8
9-Nov,97.99
9-Dec,99.61
10-Jan,99.89
10-Feb,98.9
10-Mar,97.59
10-Apr,96.7
10-May,96.69
10-Jun,98.24
10-Jul,101.91
10-Aug,107.46
10-Sep,113.56
10-Oct,119.3
10-Nov,124.32
10-Dec,129.02
11-Jan,132.59
11-Feb,134.94
11-Mar,135.53
11-Apr,135.63
11-May,135.08
11-Jun,134.54
11-Jul,133.44
11-Aug,131.87
11-Sep,129.77
11-Oct,127.24
11-Nov,125.19
